U247_contig116,mitochondrion
U247_contig2004,mitochondrion
U247_contig17,mitochondrion
U247_contig854,mitochondrion
U247_contig856,mitochondrion
U247_contig6,mitochondrion
U247_contig3608,mitochondrion
U247_contig2366,mitochondrion
U247_contig875,mitochondrion
U247_contig16,mitochondrion
U247_contig29,mitochondrion
U247_contig1481,mitochondrion
U247_contig2375,mitochondrion
U247_contig1492,mitochondrion
U247_contig125,mitochondrion
U247_contig4666,mitochondrion
U247_contig2386,mitochondrion
U247_contig4067,mitochondrion
U247_contig26,mitochondrion
U247_contig2382,mitochondrion
U247_contig3347,mitochondrion
U247_contig11,mitochondrion
U247_contig36,mitochondrion
U247_contig4534,mitochondrion
U247_contig4976,mitochondrion
U247_contig4962,mitochondrion
U247_contig859,mitochondrion
U247_contig3334,mitochondrion
U247_contig3603,mitochondrion
U247_contig3601,mitochondrion
U247_contig3006,mitochondrion
U247_contig5646,mitochondrion
U247_contig5097,mitochondrion
U247_contig3826,mitochondrion
U247_contig2704,mitochondrion
U247_contig5084,mitochondrion
U247_contig2383,mitochondrion
U247_contig5219,mitochondrion
U247_contig5196,mitochondrion
U247_contig6942,mitochondrion
U247_contig6724,mitochondrion
U247_contig6685,mitochondrion
U247_contig6612,mitochondrion
U247_contig6539,mitochondrion
U247_contig6370,mitochondrion
U247_contig6174,mitochondrion
U247_contig5904,mitochondrion
U247_contig5324,mitochondrion
U247_contig5317,mitochondrion
U247_contig5085,mitochondrion
U247_contig4970,mitochondrion
U247_contig3825,mitochondrion
U247_contig3313,mitochondrion
U247_contig2705,mitochondrion
U247_contig2703,mitochondrion
U247_contig2009,mitochondrion
U247_contig31,mitochondrion
U247_contig6939,mitochondrion
U247_contig6891,mitochondrion
U247_contig6825,mitochondrion
U247_contig6800,mitochondrion
U247_contig6774,mitochondrion
U247_contig6738,mitochondrion
U247_contig6732,mitochondrion
U247_contig6658,mitochondrion
U247_contig6655,mitochondrion
U247_contig6617,mitochondrion
U247_contig6529,mitochondrion
U247_contig6460,mitochondrion
U247_contig6398,mitochondrion
U247_contig6336,mitochondrion
U247_contig6197,mitochondrion
U247_contig6188,mitochondrion
U247_contig6091,mitochondrion
U247_contig6077,mitochondrion
U247_contig6016,mitochondrion
U247_contig6014,mitochondrion
U247_contig6006,mitochondrion
U247_contig5965,mitochondrion
U247_contig5945,mitochondrion
U247_contig5922,mitochondrion
U247_contig5737,mitochondrion
U247_contig5723,mitochondrion
U247_contig5686,mitochondrion
U247_contig5636,mitochondrion
U247_contig5632,mitochondrion
U247_contig5525,mitochondrion
U247_contig5450,mitochondrion
U247_contig5433,mitochondrion
U247_contig5406,mitochondrion
U247_contig5335,mitochondrion
U247_contig5191,mitochondrion
U247_contig5181,mitochondrion
U247_contig5074,mitochondrion
U247_contig4817,mitochondrion
U247_contig4812,mitochondrion
U247_contig4734,mitochondrion
U247_contig4662,mitochondrion
U247_contig4659,mitochondrion
U247_contig4648,mitochondrion
U247_contig4644,mitochondrion
U247_contig4494,mitochondrion
U247_contig4467,mitochondrion
U247_contig4331,mitochondrion
U247_contig4279,mitochondrion
U247_contig4267,mitochondrion
U247_contig4232,mitochondrion
U247_contig4162,mitochondrion
U247_contig4138,mitochondrion
U247_contig3719,mitochondrion
U247_contig3659,mitochondrion
U247_contig3545,mitochondrion
U247_contig3272,mitochondrion
U247_contig3259,mitochondrion
U247_contig3252,mitochondrion
U247_contig2998,mitochondrion
U247_contig2909,mitochondrion
U247_contig2691,mitochondrion
U247_contig2690,mitochondrion
U247_contig2666,mitochondrion
U247_contig2649,mitochondrion
U247_contig2623,mitochondrion
U247_contig2574,mitochondrion
U247_contig2504,mitochondrion
U247_contig2325,mitochondrion
U247_contig2184,mitochondrion
U247_contig2160,mitochondrion
U247_contig2130,mitochondrion
U247_contig2103,mitochondrion
U247_contig1905,mitochondrion
U247_contig1852,mitochondrion
U247_contig1770,mitochondrion
U247_contig1740,mitochondrion
U247_contig1389,mitochondrion
U247_contig1328,mitochondrion
U247_contig1005,mitochondrion
U247_contig822,mitochondrion
U247_contig756,mitochondrion
U247_contig657,mitochondrion
U247_contig470,mitochondrion
U247_contig3819,mitochondrion
U247_contig6684,mitochondrion
U247_contig5691,mitochondrion
U247_contig5665,mitochondrion
U247_contig5550,mitochondrion
U247_contig4377,mitochondrion
U247_contig3559,mitochondrion
U247_contig2668,mitochondrion
U247_contig5952,mitochondrion
U247_contig6034,mitochondrion
